Especie y nombre,Longitud
abelisaurus-comahuensis,9.0
alvarezsaurus-calvoi,2.0
amargasaurus-cazaui,12.0
amygdalodon-patagonicus,15.0
argentinosaurus-huinculensis,35.0
aucasaurus-garridoi,5.0
brachytrachelopan-mesai,10.0
buitreraptor-gonzalezorum,1.3
carnotaurus-sastrei,7.6
chubutisaurus-insignis,23.0
coloradisaurus-brevis,4.0
eoraptor-lunensis,1.0
gasparinisaura-cincosaltensis,0.8
giganotosaurus-carolinii,12.5
herrerasaurus-ischigualastensis,3.0
ligabuesaurus-leanzai,24.0
mapusaurus-roseae,13.0
mussaurus-patagonicus,3.0
neuquenosaurus-australis,10.0
noasaurus-leali,1.0
patagosaurus-fariasi,18.0
piatnitzkysaurus-floresi,4.2
riojasaurus-incertus,5.15
saltasaurus-loricatus,12.0
secernosaurus-koerneri,3.0
unenlagia-comahuensis,2.4
